clusters,,0,1,2
0,준비운동,"('전신 루틴 스트레칭', 2152)","('유산소 운동 전 동적 루틴 스트레칭', 1755)","('하지 루틴 스트레칭1', 1460)"
0,본운동,"('앉았다 일어서기', 3100)","('엎드려 버티기', 2509)","('윗몸올리기', 2339)"
0,마무리운동,"('전신 루틴 스트레칭', 1788)","('하지 루틴 스트레칭2', 1128)","('상지 루틴 스트레칭', 1034)"
1,준비운동,"('동적 스트레칭 루틴프로그램', 2496)","('상지 루틴 스트레칭', 1706)","('전신 루틴 스트레칭', 1640)"
1,본운동,"('앉았다 일어서기', 4898)","('엎드려 버티기', 2874)","('윗몸올리기', 2692)"
1,마무리운동,"('전신 루틴 스트레칭', 2003)","('정적 스트레칭  루틴프로그램', 1950)","('하지 루틴 스트레칭2', 1782)"
2,준비운동,"('전신 루틴 스트레칭', 955)","('유산소 운동 전 동적 루틴 스트레칭', 755)","('목 스트레칭', 660)"
2,본운동,"('앉았다 일어서기', 1228)","('엎드려 버티기', 942)","('윗몸올리기', 868)"
2,마무리운동,"('전신 루틴 스트레칭', 541)","('엉덩이 스트레칭', 504)","('하지 루틴 스트레칭2', 473)"
3,준비운동,"('동적 스트레칭 루틴프로그램', 1085)","('다리 벌려 앞으로 상체 숙이기', 842)","('다리 벌려 옆으로 상체 숙이기', 820)"
3,본운동,"('앉았다 일어서기', 1511)","('윗몸말아올리기', 875)","('맨몸운동  루틴프로그램', 771)"
3,마무리운동,"('정적 스트레칭  루틴프로그램', 1008)","('전신 루틴 스트레칭', 454)","('하지 루틴 스트레칭2', 349)"
4,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 993)","('전신 루틴 스트레칭', 984)","('하지 루틴 스트레칭1', 648)"
4,본운동,"('앉았다 일어서기', 1810)","('엎드려 버티기', 1506)","('윗몸올리기', 1416)"
4,마무리운동,"('전신 루틴 스트레칭', 886)","('하지 루틴 스트레칭2', 621)","('상지 루틴 스트레칭', 597)"
5,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 2461)","('전신 루틴 스트레칭', 2304)","('하지 루틴 스트레칭1', 1646)"
5,본운동,"('앉았다 일어서기', 4228)","('엎드려 버티기', 3059)","('달리기', 3015)"
5,마무리운동,"('전신 루틴 스트레칭', 2355)","('정적 스트레칭  루틴프로그램', 1616)","('상지 루틴 스트레칭', 1373)"
6,준비운동,"('동적 스트레칭 루틴프로그램', 838)","('전신 루틴 스트레칭', 812)","('유산소 운동 전 동적 루틴 스트레칭', 633)"
6,본운동,"('앉았다 일어서기', 1808)","('엎드려 버티기', 1073)","('윗몸올리기', 1029)"
6,마무리운동,"('정적 스트레칭  루틴프로그램', 709)","('전신 루틴 스트레칭', 663)","('하지 루틴 스트레칭2', 512)"
7,준비운동,"('동적 스트레칭 루틴프로그램', 798)","('다리 벌려 앞으로 상체 숙이기', 527)","('다리 벌려 옆으로 상체 숙이기', 503)"
7,본운동,"('앉았다 일어서기', 1108)","('윗몸말아올리기', 642)","('팔굽혀펴기', 546)"
7,마무리운동,"('정적 스트레칭  루틴프로그램', 675)","('전신 루틴 스트레칭', 322)","('하지 루틴 스트레칭2', 223)"
8,준비운동,"('동적 스트레칭 루틴프로그램', 383)","('전신 루틴 스트레칭', 261)","('팔굽혀 펴기', 253)"
8,본운동,"('앉았다 일어서기', 638)","('맨몸운동  루틴프로그램', 402)","('윗몸올리기', 297)"
8,마무리운동,"('정적 스트레칭  루틴프로그램', 298)","('전신 루틴 스트레칭', 240)","('하지 루틴 스트레칭2', 174)"
9,준비운동,"('전신 루틴 스트레칭', 1684)","('유산소 운동 전 동적 루틴 스트레칭', 1369)","('하지 루틴 스트레칭1', 1258)"
9,본운동,"('앉았다 일어서기', 2182)","('엎드려 버티기', 1831)","('윗몸올리기', 1751)"
