,인구수,1인가구수,여성인구수,cctv 개수,경찰서,버스,지하철,여성 길단위 상존인구,여성 건물단위 상존인구,"2,30대 1인가구 여성인구",경찰관서 접근 취약인구수,치안시설 분포,면적(k㎡),안심택배함 이용률,안심택배함 개수,범죄발생건수,,행정동ID
광장동,"34,168 ","3,110 ","17,694 ",44 ,1 ,"5,060 ","13,014 ","3,714,735 ","18,238 ",208 ,"11,203 ",1 ,2.39,,0 ,,,1105063
구의1동,"23,387 ","5,591 ","12,547 ",0 ,1 ,"6,172 ","20,833 ","4,071,839 ","11,771 ","2,122 ","1,922 ",1 ,0.56,27.09091,2 ,,,1105060
구의2동,"26,043 ","3,049 ","13,778 ",43 ,0 ,"7,439 ","15,944 ","3,740,631 ","13,103 ",649 ,"10,090 ",0 ,1.39,35.18182,1 ,,,1105061
구의3동,"28,211 ","3,110 ","14,842 ",17 ,0 ,"5,918 ","31,738 ","4,214,050 ","15,516 ",978 ,"19,859 ",0 ,1.02,,0 ,,,1105062
군자동,"19,425 ","5,546 ","11,016 ",5 ,0 ,"8,221 ",0 ,"2,790,074 ","10,045 ","1,987 ","5,997 ",0 ,0.74,3.75,1 ,,,1105054
능동,"11,180 ","3,251 ","6,226 ",11 ,0 ,"6,309 ","36,999 ","1,338,092 ","6,163 ","1,297 ","3,468 ",1 ,1.1,,0 ,,,1105059
화양동,"23,437 ","12,704 ","15,286 ",14 ,1 ,"11,939 ","56,089 ","4,932,788 ","11,111 ","5,996 ","3,589 ",1 ,1.16,36.54545,1 ,,,1105053
자양1동,"21,862 ","4,616 ","11,836 ",11 ,1 ,"5,648 ",0 ,"5,033,056 ","11,616 ","1,461 ","3,928 ",1 ,0.57,,0 ,,,1105064
자양2동,"23,946 ","3,098 ","12,361 ",6 ,0 ,"6,052 ",0 ,"2,904,492 ","13,735 ",726 ,"15,205 ",0 ,1.68,10.4545445,2 ,,,1105065
자양3동,"27,553 ","2,131 ","14,424 ",24 ,1 ,"5,982 ",0 ,"3,789,449 ","15,973 ",441 ,0 ,1 ,1.2,49.09091,1 ,,,1105066
자양4동,"17,926 ","3,751 ","11,951 ",2 ,1 ,"5,695 ","13,864 ","4,064,223 ","9,325 ","1,015 ","1,932 ",2 ,1.16,40.727275,2 ,,,1105067
중곡1동,"15,299 ","3,282 ","8,248 ",2 ,1 ,"4,315 ",0 ,"2,163,859 ","8,062 ","1,178 ",0 ,1 ,0.62,33.27273,1 ,,,1105055
중곡2동,"20,999 ","3,780 ","11,105 ",10 ,1 ,"5,106 ",0 ,"2,780,134 ","11,540 ","1,237 ",0 ,1 ,0.55,32,1 ,,,1105056
중곡3동,"15,945 ","3,144 ","8,171 ",75 ,1 ,"4,648 ","8,383 ","3,070,740 ","8,832 ",670 ,0 ,1 ,0.6,39.81818,1 ,,,1105057
중곡4동,"28,035 ","3,747 ","14,415 ",14 ,1 ,"3,279 ",0 ,"4,600,885 ","15,703 ",695 ,"14,981 ",1 ,2.32,,0 ,,,1105058
계,337416,63910,183900,278,10,91783,196864,53209047,180733,20660,92174,12,17.06,307.9318195,13,0,,
,,,,,,,,,,,,,,,,,,
,sgis 2022년,kosis 2022,서울열린데이터광장,공공데이터포털 2022,서울광진경찰서,서울시 교통정보 시스템(TOPIS) 2024 3/16,,서울열린데이터광장,,sgis 2022,sgis 2023,sgis 2022,서울열린데이터광장,공공데이터포털 2022,,sgis 2022,,
