,인구,1인가구수,여성인구,cctv,경찰서,버스,지하철,,,,,,,,행정동ID
광장동,"34,168","3,110","17,694",44,1,"5,060","13,014",,,,,,,,1105063
구의1동,"23,387","5,591","12,547",0,1,"6,172","20,833",,,,,,,,1105060
구의2동,"26,043","3,049","13,778",43,0,"7,439","15,944",,,,,,,,1105061
구의3동,"28,211","3,110","14,842",17,0,"5,918","31,738",,,,,,,,1105062
군자동,"19,425","5,546","11,016",5,0,"8,221",0,,,,,,,,1105054
능동,"11,180","3,251","6,226",11,0,"6,309","36,999",,,,,,,,1105059
화양동,"23,437","12,704","15,286",14,1,"11,939","56,089",,,,,,,,1105053
자양1동,"21,862","4,616","11,836",11,1,"5,648",0,,,,,,,,1105064
자양2동,"23,946","3,098","12,361",6,0,"6,052",0,,,,,,,,1105065
자양3동,"27,553","2,131","14,424",24,1,"5,982",0,,,,,,,,1105066
자양4동,"17,926","3,751","11,951",2,1,"5,695","13,864",,,,,,,,1105067
중곡1동,"15,299","3,282","8,248",2,1,"4,315",0,,,,,,,,1105055
중곡2동,"20,999","3,780","11,105",10,1,"5,106",0,,,,,,,,1105056
중곡3동,"15,945","3,144","8,171",75,1,"4,648","8,383",,,,,,,,1105057
중곡4동,"28,035","3,747","14,415",14,1,"3,279",0,,,,,,,,1105058
계,"337,416","63,910","183,900",278,10,"91,783","196,864",,,,,,,,
,,,,,,,,,,,,,,,
,sgis 2022년,kosis 2022,서울열린데이터광장,공공데이터포털 2022,서울광진경찰서,서울시 교통정보 시스템(TOPIS) 2024 3/16,,,,,,,,,
