origin,origin_lat,origin_lon,destination,destination_lat,destination_lon,distance
이룸빌리지,127.0699184,37.54729505,한아름공원,127.0704685,37.54432287,435
로얄빌라,127.0690273,37.54546304,한아름공원,127.0704685,37.54432287,378
세환원룸빌,127.0682094,37.54433934,한아름공원,127.0704685,37.54432287,558
건국대학교병원,127.0720558,37.54123563,한아름공원,127.0704685,37.54432287,1315
모진당경로당,127.0780461,37.54504359,한아름공원,127.0704685,37.54432287,2401
이룸빌리지,127.0699184,37.54729505,인애노인복지센터,127.0671824,37.5425363,915
로얄빌라,127.0690273,37.54546304,인애노인복지센터,127.0671824,37.5425363,612
세환원룸빌,127.0682094,37.54433934,인애노인복지센터,127.0671824,37.5425363,549
건국대학교병원,127.0720558,37.54123563,인애노인복지센터,127.0671824,37.5425363,1022
모진당경로당,127.0780461,37.54504359,인애노인복지센터,127.0671824,37.5425363,3129
